location_type_id,location_type,dest_purpose
1,NULL,NULL
2,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",33
3,Acupuncturists,NULL
4,Adult Entertainment,53
5,Airline Ticket Offices,NULL
6,Airport,NULL
7,Alcohol and Drug Treatment Centers,34
8,American Restaurant,50
9,Amusement Parks and Arcades,53
10,Apartments,52
11,Apparel,32
12,Apparel Accessories,32
13,ApparelStore,32
14,Art Galleries,53
15,Arts and Crafts Supply Stores,32
16,Arts and Entertainment,53
17,Assisted Living and Care Services,52
18,Associations,53
19,ATM,33
20,ATMs,33
21,Attractions,53
22,Auto Maintenance and Repair,33
23,Automobile Dealers,32
24,Automotive and Vehicles,33
25,"Automotive Parts, Accessories, and Tire Stores",32
26,Automotive Repair and Maintenance,33
27,B2B Advertising,14
28,B2B Business Services,14
29,B2B Signage,14
30,Bagels,50
31,Bakeries,50
32,Bakeries and Tortilla Manufacturing,NULL
33,Bank,33
34,Banking and Finance,33
35,Banks and Credit Unions,33
36,Barbecue,50
37,Barbers,33
38,Bariatric Medicine,34
39,Bars,50
40,Beauty Salons,33
41,Beauty Supply Stores,32
42,Bedding and Bath Stores,32
43,"Beer, Wine, and Liquor Stores",30
44,Beverage Manufacturing,NULL
45,Botanical Gardens,53
46,Boutique Stores,32
47,BowlingAlley,53
48,Breweries,50
49,Bridal Wear Stores,32
50,Building Material and Supplies Dealers,NULL
51,Burgers,50
52,Bus Stations,NULL
53,Business Consultants,14
54,Business Management Services,14
55,Business Records Storage and Management,14
56,BusinessStructure,14
57,Business-to-Business,14
58,BusStation,NULL
59,Cable and Satellite Television Services,33
60,Café,50
61,Car and Limousine Services,NULL
62,Car Rentals,NULL
63,Car Washes,33
64,Cardiologists,34
65,Casinos,53
66,Charitable Organizations,54
67,Cheese Shops,50
68,Child Day Care Services,26
69,Chinese Restaurant,50
70,Chiropractors,34
71,Church,54
72,Churches,54
73,Cigar and Tobacco Shops,32
74,Clothing Stores,32
75,Coffee Houses,50
76,"Colleges, Universities, and Professional Schools",22
77,Community Centers,53
78,CommunityCenter,53
79,Condominiums and Townhouses,52
80,Consumer Goods Rental,33
81,ConsumerElectronicsStore,32
82,Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,NULL
83,Convenience Stores,30
84,Costume Stores,32
85,Couriers and Express Delivery Services,33
86,CurrencyExchange,33
87,Dance Schools,23
88,Day Spas,53
89,Delicatessens,50
90,Delivery Service,33
91,Dental Care,34
92,Department Stores,32
93,Depository Credit Intermediation,33
94,Desserts,50
95,Diagnostic Centers,34
96,Dialysis Clinics,34
97,Dim Sum Restaurant,50
98,Diners,50
99,Discount Stores,32
100,DoctorOffice,34
101,Donuts,50
102,Drinking Places (Alcoholic Beverages),50
103,Drugs and Druggists' Sundries Merchant Wholesalers,32
104,Drycleaning and Laundry Services,33
105,"Ear, Nose and Throat",34
106,Education,6
107,Electronics and Appliance Stores,32
108,Elementary and Secondary Schools,21
109,Elementary Schools,21
110,Emergency Rooms,34
111,Ethiopian Restaurant,50
112,"Executive, Legislative, and Other General Government Support",33
113,Family and General Practice Physicians,34
114,Farmers Markets,30
115,Fast Food,50
116,FastFood,50
117,Financial and Investment Planning,33
118,Fish Markets,50
119,Florists,32
120,Florists and Gift Shops,32
121,Food and Drink,50
122,French Restaurant,50
123,Fruit and Vegetable Stands,30
124,Furniture Stores,32
125,Gambling Industries,53
126,Gas Stations,31
127,Gasoline Stations,31
128,GasStation,31
129,General Medical and Surgical Hospitals,34
130,"General Merchandise Stores, including Warehouse Clubs and Supercenters",32
131,Golf,53
132,GolfCourse,53
133,Government and Community,NULL
134,Greek Restaurant,50
135,Grocery,30
136,Grocery and Related Product Merchant Wholesalers,30
137,Grocery Stores,30
138,GroceryStore,30
139,Guest Houses,152
140,Hair Removal,33
141,Hair Salons,33
142,Hawaiian Restaurant,50
143,Health and Personal Care Stores,33
144,Health Clinics,34
145,Healthcare,34
146,HigherEducationFacility,22
147,Hobby Shops,32
148,Holding Companies,NULL
149,Home Furnishings Stores,32
150,Home Health Care Services,34
151,Home Improvement Stores,32
152,Hospital,34
153,Hospitals,34
154,Hostels,152
155,Hotels,152
156,Ice Cream Parlors,50
157,Indian Restaurant,50
158,Individual and Family Services,NULL
159,IndustrialStructure,NULL
160,Insurance,33
161,Internal Medicine Specialists,34
162,Italian Restaurant,50
163,Japanese Restaurant,50
164,Jewelry and Watches Stores,32
165,"Jewelry, Luggage, and Leather Goods Stores",32
166,Junior Colleges,22
167,"Justice, Public Order, and Safety Activities",NULL
168,Lawyers,33
169,Lessors of Real Estate,33
170,Library,33
171,Lingerie Stores,32
172,Liquor and Wine Stores,32
173,Live Music,53
174,Lumber and Other Construction Materials Merchant Wholesalers,32
175,Mall,32
176,Massage,33
177,Medical Centers,34
178,Medical Supply and Equipment Stores,34
179,Mediterranean Restaurant,50
180,Mental Health Services,34
181,Mexican Restaurant,50
182,Mobile Phones and Services,32
183,Money Transfer Services,33
184,Mortgage Lenders,33
185,Motion Picture and Video Industries,NULL
186,MotorcycleDealership,32
187,Movie Theaters,53
188,Museums,NULL
189,"Museums, Historical Sites, and Similar Institutions",53
190,Music Schools,23
191,Nephrologists,34
192,New Car and Truck Dealers,32
193,NULL,NULL
194,Nursing Care Facilities (Skilled Nursing Facilities),52
195,Nursing Homes and Life Care Facilities,52
196,"Office Supplies, Stationery, and Gift Stores",32
197,Offices of Dentists,34
198,Offices of Other Health Practitioners,34
199,Offices of Physicians,34
200,Oncologists,34
201,Ophthalmologists,34
202,Optical Stores,32
203,Optometrists,34
204,Orthodontists,34
205,Orthopedic Medicine,34
206,Other Amusement and Recreation Industries,53
207,Other Financial Investment Activities,33
208,Other Information Services,NULL
209,Other Miscellaneous Store Retailers,32
210,Other Motor Vehicle Dealers,32
211,Other Personal Services,33
212,"Other Professional, Scientific, and Technical Services",33
213,Other Schools and Instruction,23
214,Outpatient Care Centers,34
215,Park,53
216,Parking,NULL
217,Parks,NULL
218,Passport and Visa Services,33
219,Pediatricians,34
220,Personal Care Services,33
221,Pet Supply Stores,32
222,PetStore,32
223,Pharmacies,34
224,Pharmacy,34
225,Physical Fitness Facilities,51
226,Physical Therapists,34
227,Pizzeria,50
228,Playgrounds,53
229,Postal Service,33
230,Postal Services,33
231,Preschool and Kindergarten,26
232,Printing and Related Support Activities,33
233,"Promoters of Performing Arts, Sports, and Similar Events",53
234,Property Management and Maintenance,33
235,Psychiatrists,34
236,Psychologists,34
237,Public Transit,NULL
238,Radio Stations,NULL
239,Real Estate,33
240,Real Estate Agents and Brokers,33
241,Real Estate Services,NULL
242,RecreationalStructure,33
243,Rehabilitation Services,34
244,Religious Organizations,54
245,Rental Services,33
246,Residential,52
247,ResidentialStructure,NULL
248,Restaurant,50
249,Restaurants,50
250,Restaurants and Other Eating Places,50
251,Retail,32
252,Sandwiches,50
253,School,21
254,Schools,21
255,ScientificResearchBase,NULL
256,Seafood,50
257,Shop,32
258,ShoppingCenter,32
259,Sightseeing Tours,53
260,Soba Udon and Ramen Restaurant,50
261,Social Service Organizations,NULL
262,Specialty Education,23
263,Specialty Food Stores,30
264,"Sporting Goods, Hobby, and Musical Instrument Stores",32
265,Sportswear Stores,32
266,Steak House,50
267,Store,NULL
268,Structure,NULL
269,Supermarkets,30
270,Support Activities for Air Transportation,NULL
271,Sushi Restaurant,50
272,Swimming Pools,51
273,Tattoos and Piercings,33
274,Tax Return Preparation and Filing,33
275,Taxi Services,NULL
276,Thai Restaurant,50
277,Travel,NULL
278,Travel Accommodations,152
279,Traveler Accommodation,152
280,Tutoring Services,33
281,University,22
282,UnKnown,NULL
283,Urgent Care,34
284,Used Merchandise Stores,32
285,Vacation Home Rentals,152
286,Vegetarian and Vegan Restaurant,50
287,Veterinarians,34
288,Vietnamese Restaurant,50
289,Warehouse Club Stores,30
290,Wine Bars,50
291,Wired and Wireless Telecommunications Carriers,33
292,Women's Clothing Stores,32
293,Yoga,51
294,Zoo,53
295,Colleges and Universities,22
296,Community and Junior Colleges,22
297,Adult Education,23
298,Computer Coaching,23
299,Driving Schools,23
300,Language Schools,23
301,Vocational and Training Schools,25
302,Auto and Home Insurance,32
303,Auto Detailing Services,32
304,Bookstores,32
305,Electronics Stores,32
306,HobbyStore,32
307,Housewares,32
308,Malls and Shopping Centers,32
309,Marijuana Stores,32
310,Pawn Shops,32
311,Screen Printing,32
312,Shoe Stores,32
313,Sporting Goods Stores,32
314,Store,32
315,Thrift Stores,32
316,Used Car and Truck Dealers,32
317,Audio-Visual Production and Design,33
318,Beauty and Spa,33
319,Government and Community,33
320,Government Services,33
321,Individual and Family Services,33
322,Insurance Carriers,33
323,Libraries,33
324,Local and State Government Offices,33
325,Nail Salons,33
326,Real Estate Services,33
327,Senior Citizen Services,33
328,Social Advocacy Organizations,33
329,Social Service Organizations,33
330,Travel Agencies,33
331,Gastroenterologists,34
332,Infectious Disease Specialists,34
333,Radiologists,34
334,Korean Restaurant,50
335,Middle Eastern Restaurant,50
336,Taiwanese Restaurant,50
337,Golf Courses,51
338,Rock Climbing,51
339,Sports and Recreation,51
340,Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,52
341,Fraternities and Sororities,52
342,Fairs,53
343,Museum,53
344,Museums,53
345,Stadium,53
346,Stadiums and Playing Fields,53
347,Food Banks,54
348,Homeless Shelters,54
349,Landmarks,54
350,Religion,54
